Time,Position,Speed
0.241,-0.0646127,-0.450094
0.242,-0.0650628,-0.436706
0.243,-0.0654995,-0.42321
0.244,-0.0659227,-0.409609
0.245,-0.0663323,-0.395908
0.246,-0.0667282,-0.382108
0.247,-0.0671103,-0.368214
0.248,-0.0674785,-0.354229
0.249,-0.0678327,-0.340157
0.25,-0.0681729,-0.326001
0.251,-0.0684989,-0.311766
0.252,-0.0688107,-0.297454
0.253,-0.0691081,-0.283069
0.254,-0.0693912,-0.268616
0.255,-0.0696598,-0.254098
0.256,-0.0699139,-0.239519
0.257,-0.0701534,-0.224883
0.258,-0.0703783,-0.210193
0.259,-0.0705885,-0.195455
0.26,-0.070784,-0.180671
0.261,-0.0709646,-0.165846
0.262,-0.0711305,-0.150984
0.263,-0.0712815,-0.136089
0.264,-0.0714175,-0.121165
0.265,-0.0715387,-0.106217
0.266,-0.0716449,-0.0912469
0.267,-0.0717362,-0.0762607
0.268,-0.0718124,-0.0612619
0.269,-0.0718737,-0.0462548
0.27,-0.07192,-0.0312434
0.271,-0.0719512,-0.016232
0.272,-0.0719674,-0.00122458
0.273,-0.0719687,0.0137747
0.274,-0.0719549,0.0287616
0.275,-0.0719261,0.0437321
0.276,-0.0718824,0.0586821
0.277,-0.0718237,0.0736076
0.278,-0.0717501,0.0885043
0.279,-0.0716616,0.103368
0.28,-0.0715582,0.118196
0.281,-0.07144,0.132982
0.282,-0.071307,0.147724
0.283,-0.0711593,0.162417
0.284,-0.0709969,0.177058
0.285,-0.0708198,0.191642
0.286,-0.0706282,0.206166
0.287,-0.070422,0.220625
0.288,-0.0702014,0.235017
0.289,-0.0699664,0.249337
0.29,-0.0697171,0.263582
0.291,-0.0694535,0.277748
0.292,-0.0691757,0.291831
0.293,-0.0688839,0.305828
0.294,-0.0685781,0.319736
0.295,-0.0682583,0.333551
0.296,-0.0679248,0.347269
0.297,-0.0675775,0.360888
0.298,-0.0672166,0.374403
0.299,-0.0668422,0.387813
0.3,-0.0664544,0.401113
0.301,-0.0660533,0.414301
0.302,-0.065639,0.427374
0.303,-0.0652116,0.440328
0.304,-0.0647713,0.453161
0.305,-0.0643181,0.46587
0.306,-0.0638523,0.478452
0.307,-0.0633738,0.490904
0.308,-0.0628829,0.503225
0.309,-0.0623797,0.515411
0.31,-0.0618643,0.52746
0.311,-0.0613368,0.539369
0.312,-0.0607974,0.551137
0.313,-0.0602463,0.56276
0.314,-0.0596835,0.574237
0.315,-0.0591093,0.585566
0.316,-0.0585237,0.596745
0.317,-0.057927,0.607771
0.318,-0.0573192,0.618644
0.319,-0.0567006,0.62936
0.32,-0.0560712,0.639918
0.321,-0.0554313,0.650318
0.322,-0.054781,0.660556
0.323,-0.0541204,0.670632
0.324,-0.0534498,0.680544
0.325,-0.0527693,0.690291
0.326,-0.052079,0.699871
0.327,-0.0513791,0.709284
0.328,-0.0506698,0.718528
0.329,-0.0499513,0.727603
0.33,-0.0492237,0.736506
0.331,-0.0484872,0.745238
0.332,-0.0477419,0.753797
0.333,-0.0469881,0.762183
0.334,-0.046226,0.770395
0.335,-0.0454556,0.778433
0.336,-0.0446771,0.786295
0.337,-0.0438908,0.793982
0.338,-0.0430968,0.801492
0.339,-0.0422954,0.808827
0.34,-0.0414865,0.815984
0.341,-0.0406705,0.822965
0.342,-0.0398476,0.829768
0.343,-0.0390178,0.836395
0.344,-0.0381814,0.842844
0.345,-0.0373386,0.849116
0.346,-0.0364895,0.855211
0.347,-0.0356342,0.861129
0.348,-0.0347731,0.86687
0.349,-0.0339062,0.872435
0.35,-0.0330338,0.877824
0.351,-0.032156,0.883037
0.352,-0.031273,0.888074
0.353,-0.0303849,0.892936
0.354,-0.0294919,0.897624
0.355,-0.0285943,0.902139
0.356,-0.0276922,0.90648
0.357,-0.0267857,0.910648
0.358,-0.0258751,0.914645
0.359,-0.0249604,0.91847
0.36,-0.0240419,0.922125
0.361,-0.0231198,0.925611
0.362,-0.0221942,0.928927
0.363,-0.0212653,0.932077
0.364,-0.0203332,0.935059
0.365,-0.0193981,0.937875
0.366,-0.0184603,0.940527
0.367,-0.0175197,0.943015
0.368,-0.0165767,0.94534
0.369,-0.0156314,0.947504
0.37,-0.0146839,0.949507
0.371,-0.0137344,0.951351
0.372,-0.012783,0.953036
0.373,-0.01183,0.954565
0.374,-0.0108754,0.955939
0.375,-0.00991948,0.957157
0.376,-0.00896232,0.958223
0.377,-0.0080041,0.959137
0.378,-0.00704496,0.959901
0.379,-0.00608506,0.960515
0.38,-0.00512454,0.960982
0.381,-0.00416356,0.961303
0.382,-0.00320226,0.961478
0.383,-0.00224078,0.96151
0.384,-0.00127927,0.9614
0.385,-0.000317873,0.961149
0.386,0.000643276,0.960758
0.387,0.00160403,0.960231
0.388,0.00256426,0.959566
0.389,0.00352383,0.958767
0.39,0.0044826,0.957835
0.391,0.00544043,0.95677
0.392,0.0063972,0.955576
0.393,0.00735278,0.954252
0.394,0.00830703,0.952801
0.395,0.00925983,0.951224
0.396,0.0102111,0.949523
0.397,0.0111606,0.947699
0.398,0.0121083,0.945754
0.399,0.013054,0.943689
0.4,0.0139977,0.941506
0.401,0.0149392,0.939206
0.402,0.0158784,0.936791
0.403,0.0168152,0.934262
0.404,0.0177495,0.93162
0.405,0.0186811,0.928868
0.406,0.01961,0.926007
0.407,0.020536,0.923038
0.408,0.021459,0.919963
0.409,0.022379,0.916783
0.41,0.0232958,0.9135
0.411,0.0242093,0.910115
0.412,0.0251194,0.906629
0.413,0.026026,0.903045
0.414,0.0269291,0.899363
0.415,0.0278284,0.895586
0.416,0.028724,0.891713
0.417,0.0296157,0.887748
0.418,0.0305035,0.883691
0.419,0.0313872,0.879543
0.42,0.0322667,0.875307
0.421,0.033142,0.870983
0.422,0.034013,0.866573
0.423,0.0348796,0.862078
0.424,0.0357416,0.8575
0.425,0.0365991,0.852839
0.426,0.037452,0.848098
0.427,0.0383001,0.843277
0.428,0.0391434,0.838378
0.429,0.0399817,0.833402
0.43,0.0408151,0.82835
0.431,0.0416435,0.823225
0.432,0.0424667,0.818026
0.433,0.0432847,0.812755
0.434,0.0440975,0.807413
0.435,0.0449049,0.802003
0.436,0.0457069,0.796524
0.437,0.0465034,0.790978
0.438,0.0472944,0.785366
0.439,0.0480798,0.779689
0.44,0.0488595,0.773949
0.441,0.0496334,0.768146
0.442,0.0504016,0.762283
0.443,0.0511638,0.756359
0.444,0.0519202,0.750376
0.445,0.0526706,0.744335
0.446,0.0534149,0.738237
0.447,0.0541531,0.732083
0.448,0.0548852,0.725874
0.449,0.0556111,0.719612
0.45,0.0563307,0.713296
0.451,0.057044,0.706929
0.452,0.0577509,0.700512
0.453,0.0584515,0.694044
0.454,0.0591455,0.687527
0.455,0.059833,0.680963
0.456,0.060514,0.674352
0.457,0.0611883,0.667694
0.458,0.061856,0.660991
0.459,0.062517,0.654245
0.46,0.0631713,0.647454
0.461,0.0638187,0.640622
0.462,0.0644593,0.633747
0.463,0.0650931,0.626832
0.464,0.0657199,0.619877
0.465,0.0663398,0.612883
0.466,0.0669527,0.60585
0.467,0.0675585,0.59878
0.468,0.0681573,0.591674
0.469,0.068749,0.584531
0.47,0.0693335,0.577353
0.471,0.0699109,0.570141
0.472,0.070481,0.562895
0.473,0.0710439,0.555616
0.474,0.0715995,0.548305
0.475,0.0721478,0.540962
0.476,0.0726888,0.533589
0.477,0.0732224,0.526185
0.478,0.0737486,0.518752
0.479,0.0742673,0.51129
0.48,0.0747786,0.5038
0.481,0.0752824,0.496283
0.482,0.0757787,0.488738
0.483,0.0762674,0.481168
0.484,0.0767486,0.473572
0.485,0.0772222,0.465951
0.486,0.0776881,0.458305
0.487,0.0781464,0.450636
0.488,0.0785971,0.442944
0.489,0.07904,0.435229
0.49,0.0794752,0.427492
0.491,0.0799027,0.419733
0.492,0.0803225,0.411954
0.493,0.0807344,0.404154
0.494,0.0811386,0.396335
0.495,0.0815349,0.388496
0.496,0.0819234,0.380638
0.497,0.082304,0.372762
0.498,0.0826768,0.364868
0.499,0.0830417,0.356957
0.5,0.0833986,0.349029
0.501,0.0837477,0.341085
0.502,0.0840887,0.333125
0.503,0.0844219,0.32515
0.504,0.084747,0.31716
0.505,0.0850642,0.309155
0.506,0.0853733,0.301137
0.507,0.0856745,0.293105
0.508,0.0859676,0.28506
0.509,0.0862526,0.277003
0.51,0.0865296,0.268933
0.511,0.0867986,0.260852
0.512,0.0870594,0.252759
0.513,0.0873122,0.244656
0.514,0.0875568,0.236542
0.515,0.0877934,0.228417
0.516,0.0880218,0.220284
0.517,0.0882421,0.212141
0.518,0.0884542,0.203989
0.519,0.0886582,0.195829
0.52,0.088854,0.187661
0.521,0.0890417,0.179485
0.522,0.0892212,0.171302
0.523,0.0893925,0.163112
0.524,0.0895556,0.154916
0.525,0.0897105,0.146713
0.526,0.0898572,0.138505
0.527,0.0899957,0.130291
0.528,0.090126,0.122073
0.529,0.0902481,0.11385
0.53,0.0903619,0.105622
0.531,0.0904676,0.0973912
0.532,0.090565,0.0891564
0.533,0.0906541,0.0809185
0.534,0.090735,0.0726778
0.535,0.0908077,0.0644348
0.536,0.0908721,0.0561896
0.537,0.0909283,0.0479428
0.538,0.0909763,0.0396946
0.539,0.091016,0.0314454
0.54,0.0910474,0.0231956
0.541,0.0910706,0.0149456
0.542,0.0910856,0.0066956
0.543,0.0910923,-0.00155392
0.544,0.0910907,-0.00980263
0.545,0.0910809,-0.0180502
0.546,0.0910628,-0.0262962
0.547,0.0910365,-0.0345404
0.548,0.091002,-0.0427823
0.549,0.0909592,-0.0510216
0.55,0.0909082,-0.059258
0.551,0.0908489,-0.067491
0.552,0.0907815,-0.0757203
0.553,0.0907057,-0.0839456
0.554,0.0906218,-0.0921665
0.555,0.0905296,-0.100383
0.556,0.0904292,-0.108594
0.557,0.0903206,-0.116799
0.558,0.0902038,-0.124998
0.559,0.0900789,-0.133192
0.56,0.0899457,-0.141378
0.561,0.0898043,-0.149558
0.562,0.0896547,-0.15773
0.563,0.089497,-0.165894
0.564,0.0893311,-0.17405
0.565,0.089157,-0.182198
0.566,0.0889749,-0.190336
0.567,0.0887845,-0.198465
0.568,0.0885861,-0.206584
0.569,0.0883795,-0.214693
0.57,0.0881648,-0.222792
0.571,0.087942,-0.230879
0.572,0.0877111,-0.238955
0.573,0.0874721,-0.247019
0.574,0.0872251,-0.25507
0.575,0.0869701,-0.263109
0.576,0.0867069,-0.271135
0.577,0.0864358,-0.279147
0.578,0.0861567,-0.287144
0.579,0.0858695,-0.295128
0.58,0.0855744,-0.303096
0.581,0.0852713,-0.311049
0.582,0.0849603,-0.318985
0.583,0.0846413,-0.326906
0.584,0.0843144,-0.334809
0.585,0.0839796,-0.342695
0.586,0.0836369,-0.350563
0.587,0.0832863,-0.358412
0.588,0.0829279,-0.366243
0.589,0.0825616,-0.374054
0.59,0.0821876,-0.381845
0.591,0.0818057,-0.389616
0.592,0.0814161,-0.397365
0.593,0.0810188,-0.405093
0.594,0.0806137,-0.412799
0.595,0.0802009,-0.420481
0.596,0.0797804,-0.428141
0.597,0.0793522,-0.435776
0.598,0.0789165,-0.443388
0.599,0.0784731,-0.450974
