Time,Position,Speed
0.113,0.0539874865883642,-0.7544009711523424,
0.114,0.05323308561721186,-0.7588097325386914,
0.115,0.05247427588467317,-0.7631546628643398,
0.116,0.05171112122180883,-0.7674349635966533,
0.117,0.050943686258212176,-0.7716498331063565,
0.11800000000000001,0.05017203642510582,-0.7757984668358503,
0.11900000000000001,0.04939623795826997,-0.7798800574736422,
0.12,0.04861635790079633,-0.7838937951349442,
0.121,0.04783246410566139,-0.7878388675484929,
0.122,0.0470446252381129,-0.7917144602496402,
0.123,0.046252910777863254,-0.7955197567797623,
0.124,0.04545739102108349,-0.7992539388920284,
0.125,0.04465813708219146,-0.8029161867635703,
0.126,0.04385522089542789,-0.8065056792140853,
0.127,0.043048715216213805,-0.8100215939309057,
0.128,0.0422386936222829,-0.81346310770056,
